Слово,Орфоэпическая транскрипция,Слово с ударением
изменив,~ i1 z * m' i1 n' + i0 + v,измени0в
изменившимся,~ i1 z * m' i1 n' + i0 + f sh / y4 m ^ s' a4,измени0вшимся
изменилась,~ i1 z * m' i1 n' + i0 + l / a4 ^ s',измени0лась
изменилось,~ i1 z * m' i1 n' + i0 + l / a4 ^ s',измени0лось
измерил,~ i1 z * m' e0 r' + i4 + l,изме0рил
измученной,~ i1 z * m u0 ch + i4 n / a4 j,изму0ченной
изобрел,~ i1 z a1 * b r' + o0 + l,изобре0л
изобретательный,~ i1 z a2 * b r' + i1 t + a0 + t' i4 l' + n / y4 j,изобрета0тельный
изолятор,* y1 z a1 l' + a0 t a4 r,изоля0тор
изредка,~ i0 z * r' i4 t k + a4,и0зредка
изрытое,~ i1 z * r y0 + t / a4 j i4,изры0тое
изумляет,~ i1 z * u1 m l' + a0 / - i4 t,изумля0ет
изумлялся,~ i1 z * u1 m l' + a0 + l ^ s' a4,изумля0лся
изумляясь,~ y1 z * u1 m l' + a0 j + i4 ^ z',изумля0ясь
изуродованными,~ i1 z * u1 r o0 d + a4 v a4 + n / y4 m' i4,изуро0дованными
изучать,~ i1 z * u1 ch + a0 / t',изуча0ть
или,* i0 l' -,и0ли
им,* i0 m,и0м
имевшие,* i1 m' e0 + f sh / y4 j i4,име0вшие
имеет,* i1 m' e0 / - i4 d,име0ет
имеете,* i1 m' e0 / j i4 t' i4,име0ете
имеешь,* i1 m' e0 / j i4 sh,име0ешь
имей,* i1 m' e0 + j,име0й
имел,* i1 m' e0 + l,име0л
имела,* i1 m' e0 + l / a4,име0ла
имели,* i1 m' e0 + l' / i4,име0ли
имени,* i0 m' + i4 n' / i4,и0мени
именно,* i0 m' i4 n - a4,и0менно
именье,* y1 m' + e0 n' j / i4,име0нье
иметь,* i1 m' + e0 / t',име0ть
имею,* i1 m' e0 j / u4,име0ю
имеют,* i1 m' e0 / j u4 d,име0ют
ими,* i0 m' i4,и0ми
имя,* i0 m' / a4,и0мя
иначе,* i1 n a0 ch i4,ина0че
инженер,* i1 n zh y1 n' e0 r,инжене0р
инженером,* i1 n zh y1 n' e0 r / a4 m,инжене0ром
инициатива,* i1 n' i1 c y1 a1 t' i0 v / a4,инициати0ва
иногда,* y1 n a1 g d a0,иногда0
иного,* i1 n / o0 v a4,ино0го
иной,* i1 n / o0 j,ино0й
институт,* i1 n s' t' i1 t u0 t,институ0т
институты,* y1 n s' t' i1 t u0 t / y4,институ0ты
инструмент,* i1 n s t r u1 m' e0 n d,инструме0нт
инсульта,* y1 n s u0 l' t / a4,инсу0льта
интеллигентные,* i1 n' t' i1 l' i1 g' e0 n t + n / - j i4,интеллиге0нтные
интеллигентным,* i1 n' t' i1 l' i1 g' e0 n t + n / y4 m,интеллиге0нтным
интерес,* i1 n' t' i1 r' e0 s,интере0с
интереса,* i1 n t' i1 r' e0 s / a4,интере0са
интересна,* i1 n' t' i1 r' e0 s + n / a4,интере0сна
интересная,* i1 n' t' i1 r' e0 s + n / a4 j a4,интере0сная
интересно,* i1 n t' i1 r' e0 s + n + a4,интере0сно
интересны,* i1 n' t' i1 r' e0 s + n / y4,интере0сны
интересовало,* i1 n' t' i1 r' i1 s + a1 v a0 + l / a4,интересова0ло
интересом,* y1 n' t' i1 r' e0 s / a4 m,интере0сом
интересует,* i1 n t' i1 r' i1 s + u0 / j i4 t,интересу0ет
интересуется,* i1 n t' i1 r' i1 s + u0 / j i4 ^ c a4,интересу0ется
интуитивно,* i1 n t u1 i1 t' + i0 v n + a4,интуити0вно
инфаркт,* i1 n f a0 r k t,инфа0ркт
инфаркта,* i1 n f a0 r k t / a4,инфа0ркта
инфарктника,* i1 n f a0 r k t + n' i4 k / a4,инфа0рктника
инфарктников,* i1 n f a0 r k t + n' i4 k / a4 f,инфа0рктников
иные,* i1 n / y0 j i4,ины0е
иных,* y1 n / y0 h,ины0х
ираида,* i1 r a0 i4 d / a4,ира0ида
ираиды,* i1 r a0 i4 d / y4,ира0иды
ирина,* i1 r' i0 n / a4,ири0на
ириной,* y1 r' i0 n / a4 j,ири0ной
иронизировать,* y1 r a2 n' + i1 z' + i0 r a4 v a4 / t',иронизи0ровать
исидор,* i1 s' i1 d o0 r,исидо0р
исидора,* i1 s' i1 d o0 r / a4,исидо0ра
искал,* i1 s k + a0 + l,иска0л
искать,* i1 s k + a0 / t',иска0ть
исключения,~ i1 * s k l' u1 ch + e0 n' i4 j / a4,исключе0ния
исключительная,~ i1 s * k l' u1 ch + i0 t' + i4 l' n / a4 - i4,исключи0тельная
исключительного,~ i1 s * k l' u1 ch + i0 + t' i4 l' + n / a4 v a4,исключи0тельного
исключительных,~ y1 s * k l' u1 ch + i0 + t' i4 l' + n / y4 h,исключи0тельных
искренне,* i0 s k r' i4 n' + i4,и0скренне
искупает,~ i1 s * k u1 p + a0 / - i4 t,искупа0ет
исполнилось,~ i1 s * p o0 l n' + i4 + l / a4 ^ s',испо0лнилось
исполнителем,~ y1 s * p a1 l n' + i0 + t' i4 l' / i4 m,исполни0телем
исполняешь,~ i1 s * p a1 l n' + a0 / j i4 sh,исполня0ешь
испортил,~ i1 s * p o0 r t' + i4 + l,испо0ртил
испортит,~ i1 s * p o0 r t' / i4 t,испо0ртит
исправила,~ g l * a1 z a0 - + - + - / -,испра0вила
исправлять,~ i1 s * p r a1 v l' + a0 / t',исправля0ть
испуг,~ i1 s * p u0 k,испу0г
испуга,~ y1 s * p u0 g / a4,испу0га
испугавшись,~ i1 s * p u1 g + a0 + f sh y4 ^ s',испуга0вшись
испугались,~ i1 s * p u1 g + a0 + l' / i4 ^ s',испуга0лись
испугался,~ i1 s * p u1 g + a0 + l ^ s' a4,испуга0лся
испуганно,~ - * s p u0 g + a4 + n - + a4,и0спуганно
испуге,~ i1 s * p u0 g' / i4,испу0ге
испытай,~ i1 s * p y1 t + a0 + j,испыта0й
испытал,~ y1 s * p y1 t + a0 + l,испыта0л
испытанием,~ y1 s * p y1 t + a0 + n' i4 j / i4 m,испыта0нием
испытанном,~ i1 s * p y0 t + a4 + n / a4 m,испы0танном
испытывает,~ i1 s * p y0 t + y4 v a4 / j i4 t,испы0тывает
испытывал,~ i1 s * p y0 t + y4 v a4 + l,испы0тывал
испытывала,~ i1 s * p y0 t + y4 v a4 + l / a4,испы0тывала
испытывать,~ i1 s * p y0 t + y4 v a4 / t',испы0тывать
истине,* i0 s' t' i4 n' / e4,и0стине
истинная,* i0 s' t' i4 n a4 / j a4,и0стинная
истинно,* i0 s' t' i4 + n + a4,и0стинно
истинное,* i0 s' t' i4 + n + a4 j i4,и0стинное
истории,* i1 s t o0 r' + i4 / -,исто0рии
историю,* i1 s t o0 r' + i4 / j u4,исто0рию
история,* i1 s t o0 r' + i4 j / a4,исто0рия
исчез,* i1 sc ch e0,исче0з
исчезают,* i1 sc ch i1 + z / a0 j u4,исчеза0ют
исчезла,* y1 sc e0 z + l / a4,исче0зла
исчезли,* i1 sc e0 z + l' / i4,исче0зли
исчезло,* i1 sc ch e0 + z / l,исче0зло
исчезнувшие,* i1 sc ch e0 z + n u4 + f sh / y4 j i4,исче0знувшие
их,* i0 h,и0х
ищет,* i0 sc / i4 t,и0щет
июле,* y1 j u0 l' / i4,ию0ле
кабедвашников,* k a0 b e0 d v a0 sh + n' i1 k + a4 f,ка0бедвашников
кабетришников,* k a0 b e0 t r' i0 sh + n' i1 k + a4 f,ка0бетришников
кабинетик,* k a2 b' i1 n' e0 t' + i4 k,кабине0тик
кабину,* k a1 b' i0 n / u4,каби0ну
кабины,* k a1 b' i0 n / y4,каби0ны
каблуках,* k a2 b l u1 k / a0 h,каблука0х
кабы,* k a0 b y4,ка0бы
кавказ,* k a1 f k a0 s,кавка0з
каждая,* k a0 zh d / a4 j a4,ка0ждая
каждого,* k a0 zh d / a4 v a4,ка0ждого
каждой,* k a0 zh d / a4 j,ка0ждой
каждом,* k a0 zh d / a4 m,ка0ждом
каждому,* k a0 zh d / a4 m u4,ка0ждому
каждую,* k a0 zh d / u4 j u4,ка0ждую
каждый,* k a0 zh d / y4 -,ка0ждый
кажется,* k a0 zh / y4 ^ c a4,ка0жется
кажутся,* k a0 zh + u4 ^ c a4,ка0жутся
казалась,* k a1 z + a0 + l / a4 ^ s',каза0лась
казались,* k a1 z + a0 + l' / i4 ^ s',каза0лись
казалось,* k a1 z + a0 + l / a4 ^ s',каза0лось
казался,* k a1 z + a0 + l ^ s' a4,каза0лся
как,* a0 g d',ка0к
как-то,* k a0 k + - -,ка0к-то
какая,* k a1 k / a0 j a4,кака0я
какая-нибудь,* k a1 k / a0 j i4 + n' i4 b u4 d',кака0я-нибудь
какая-то,* k a1 k / a0 - i4 + t a1,кака0я-то
какие,* k a1 k' / i0 - i4,каки0е
каким,* k a1 k' / i0 m,каки0м
каким-нибудь,* k a1 k' + i0 m + n' i4 b u4 d',каки0м-нибудь
каким-то,* k a1 k' / i0 m + t a4,каки0м-то
какими-то,* k a1 k' / i0 m' i4 + t a4,каки0ми-то
каких,* k a1 k' / i0 h,каки0х
каких-нибудь,* k a1 k' / i0 h + n' i4 b u4 t',каки0х-нибудь
каких-то,* k a1 k' / i0 h + t a2,каки0х-то
какого,* k a1 k / o0 v a4,како0го
какого-нибудь,* k a1 k / o0 v a4 + n' i1 b u0 t',како0го-нибудь
какого-то,* k a1 k / o0 v a4 + t a2,како0го-то
какое,* k a1 k / o0 j i4,како0е
какое-нибудь,* k a1 k / o0 j i4 + n' i4 b u4 d',како0е-нибудь
какое-то,* k a1 k / o0 j i4 + t a4,како0е-то
какой,* j k a1 / k o0,како0й
какой-нибудь,* k a1 k / o0 j + - - - - -,како0й-нибудь
какой-то,* k a1 k / o0 j + t,како0й-то
каком,* k a1 k / o0 m,како0м
каком-то,* k a1 k / o0 m + t a4,како0м-то
какому,* k a1 k / o0 m u4,како0му
както,* k a0 k + t a4,ка0кто
какую,* k a1 k / u0 j u4,каку0ю
какую-нибудь,* k a1 k / u0 j u4 + n' i4 b u4 t',каку0ю-нибудь
какую-то,* k / a1 k u0 + j u4,каку0ю-то
калугин,* k a1 l u0 g' + i4 n,калу0гин
калужской,* k a1 l u0 sh + s k / a4 j,калу0жской
каменного,* k a0 m' i4 + n / a4 v a4,ка0менного
каменным,* k a0 m' i4 + n / y4 m,ка0менным
камня,* k a0 m n' / a4,ка0мня
канады,* k a1 n a0 d / y4,кана0ды
канализационная,* k a2 n a2 l' + i1 z + a1 c + y1 + o0 n / a4 j a4,канализацио0нная
кандидат,* k a2 n d' i1 d a0 t,кандида0т
канцелярии,* k a2 n c y1 l' a0 r' i4 / i4,канцеля0рии
капли,* k a0 p l' / i4,ка0пли
капля,* k a0 p + l' / a4,ка0пля
карандаш,* j k a2 r a1 n d a0,каранда0ш
карандашом,* k a2 r a2 n d a1 sh / o0 m,карандашо0м
карман,* k a1 r m a0 n,карма0н
кармане,* k a1 r m a0 n' / i4,карма0не
касается,* k a1 s + a0 / j i4 ^ c a4,каса0ется
касающемся,* k a1 s + a0 j + u4 sc / i4 m ^ s' a4,каса0ющемся
кассу,* k a0 s - / u4,ка0ссу
катался,* k a1 t + a0 + l ^ s' a4,ката0лся
катастрофы,* k a2 t a1 s t r o0 f / y4,катастро0фы
кататься,* k a1 t + a0 ^ c a4,ката0ться
катилось,* k a1 t' + i0 + l ^ a4 s',кати0лось
катись,* k a1 t' + i0 ^ s',кати0сь
катится,* k a0 t' + i4 ^ c a4,ка0тится
каток,* k a1 t + o0 k,като0к
качествах,* k a0 ch + i4 s t v / a4 h,ка0чествах
качество,* k a0 ch + i4 s t v / a4,ка0чество
каша,* k a0 sh / a4,ка0ша
кб,* k a0 b e0,кб
квадрате,* k v a1 d r a0 t' / i4,квадра0те
квалифицированный,* k v a2 l' i1 f' i1 c + y0 r a4 v a4 + n / y4 j,квалифици0рованный
квартира,* k v a1 r t' i0 r / a4,кварти0ра
квартирах,* k v a1 r t' i0 r / - h,кварти0рах
квартире,* f k v a1 r t' i0 / r',кварти0ре
квартиру,* k v a1 r t' i0 r / u4,кварти0ру
квартиры,* j k v a1 r t' i0 / r,кварти0ры
кем,* k' / e0 m,ке0м
кем-то,* k' / e0 m + t a4,ке0м-то
кефир,* k' i1 f' i0 r,кефи0р
кивал,* k' i1 v + a0 + l,кива0л
кивнув,* k' i1 v + n u0 + f,кивну0в
кивнула,* k' i1 v + n u0 + l / a4,кивну0ла
кидался,* k' i1 d + a0 + l ^ s' a4,кида0лся
кидать,* k' i1 d + a0 / d',кида0ть
километр,* k' i1 l a1 * m' e0 t r,киломе0тр
кинокартину,* k' i1 n a2 * k a1 r t' i0 n / u4,кинокарти0ну
кинокартины,* k' i1 n = a2 * k a1 r t' i0 n / y4,кинокарти0ны
кинула,* k' i0 + n u4 + l / a4,ки0нула
кинулась,* k' i0 + n u4 + l / a4 ^ s',ки0нулась
кипа,* k' i0 p / a4,ки0па
кипит,* k' i1 p' / i0 t,кипи0т
кипы,* k' i0 p / y4,ки0пы
кириллович,* k' i1 r' i0 l + a4 v' + i4 ch,кири0ллович
кирилловича,* k' i1 r' i0 l + a4 v' + i4 ch / a4,кири0лловича
кирпич,* k' i1 r p' i0 ch,кирпи0ч
кирпичных,* k' i1 r p' i0 ch + n / y4 h,кирпи0чных
кирсанове,* k' i1 r s a0 n + a4 v' / i4,кирса0нове
кисточку,* k' i0 s t + a4 ch k / u4,ки0сточку
китае,* k' i1 t a0 j / i4,кита0е
китайскими,* k' i1 t a0 j + s k' / i4 m' i4,кита0йскими
китайских,* k' i1 t a0 j + s k' / i4 h,кита0йских
китая,* k' i1 t a0 j / a4,кита0я
кичатся,* k' i1 ch / a0 ^ c a4,кича0тся
кичится,* k' i1 ch / i0 ^ c a4,кичи0тся
кичливость,* k' i1 ch + l' i0 v + a4 s' t',кичли0вость
классе,* k l a0 s' / i4,кла0ссе
клев,* k l' o0 f,кле0в
клевет,* k l' i1 v' e0 t,клеве0т
клеенке,* k l' i1 j + o0 n k' / i4,клее0нке
клеится,* k l' e0 / i4 c ^ - a4,кле0ится
клеточку,* k l' e0 t + a4 ch + k / u4,кле0точку
клетчатую,* k l' e0 + ch a4 t / u4 j u4,кле0тчатую
климат,* k l' i0 m a4 t,кли0мат
климате,* k l' i0 m a4 t' / i4,кли0мате
кличу,* k l' i0 ch / u4,кли0чу
клочьев,* k l o0 ch / j i4 f,кло0чьев
клуб,* k l u0 p,клу0б
ключ,* k l' u0 ch,клю0ч
ключом,* k l' u1 ch / o0 m,ключо0м
книг,* k n' i0 k,кни0г
книге,* k n' i0 g' / e4,кни0ге
книги,* k n' i0 g' / i4,кни0ги
книгой,* k n' i0 g / a4 j,кни0гой
книгу,* k n' i0 g / u4,кни0гу
книжек,* k n' i0 zh + y4 k,кни0жек
книжечки,* k n' i0 zh + y4 ch k' / i4,кни0жечки
книжечкой,* k n' i0 zh + y4 ch k / a4 j,кни0жечкой
книжках,* k n' i0 sh + k / a4 h,кни0жках
книжном,* k n' i0 zh + n / a4 m,кни0жном
книжный,* k n' i0 zh + n / y4 j,кни0жный
князь,* k n' a0 s',кня0зь
князя,* k n' a0 z' / a4,кня0зя
ковбойке,* k a1 v b o0 j + k' / i4,ковбо0йке
ковер,* k a1 v' o0 r,кове0р
когда-нибудь,* k a1 g d a0 + n' i4 b u4 d',когда0-нибудь
когда-то,* k a1 g d a0 + t a1,когда0-то
кого-нибудь,* k a1 v o0 + n' i4 b u4 d',кого0-нибудь
кого-то,* k / a1 v o0 + t a4,кого0-то
когонибудь,* k a1 v o0 + n' i4 b u4 t',кого0нибудь
кое,~ k o0 j i4,ко0е
кое-,~ k o0 - i4,ко0е-
кое-какие,~ k o0 j i4 * k a1 k' / i0 j i4,ко0е-какие
кое-чего,~ k a2 i1 * ch / i1 v o0,кое-чего0
кожа,* k o0 zh / a4,ко0жа
кожаных,* k o0 zh + a4 n / - -,ко0жаных
кожевенником,* k a1 zh + e0 v' + i4 n' + i4 k / a4 m,коже0венником
кожей,* k o0 zh / y4 j,ко0жей
кожи,* k o0 zh / y4,ко0жи
кожу,* k o0 zh / u4,ко0жу
козлах,* k o0 z l / a4 h,ко0злах
козлове,* k a1 z l + o0 v' / i4,козло0ве
кол,* k o0 l,ко0л
колебаний,* k a2 l' i1 b + a0 + n' i4 j,колеба0ний
колени,* k a1 l' e0 n' / i4,коле0ни
колену,* k a1 l' e0 n / u4,коле0ну
коленях,* k a1 l' e0 n' / a4 h,коле0нях
количество,* k a1 l' i0 ch + i4 s t v / a4,коли0чество
коломенское,* k a1 l o0 m' i4 n + s k / a4 j i4,коло0менское
колонку,* k a1 l o0 n + k / u4,коло0нку
колонной,* k a1 l o0 n / a4 j,коло0нной
колонну,* k a1 l o0 n / u4,коло0нну
колунами,* k a2 l u1 n / a0 m' i4,колуна0ми
колются,* k o0 l' / u4 ^ c a4,ко0лются
коляски,* k a1 l' a0 s + k' / i4,коля0ски
команде,* k a1 m a0 n' d' / i4,кома0нде
командировке,* k a2 m a2 n' d' + i1 r + o0 f + k' / i4,командиро0вке
командировкой,* k a2 m a2 n' d' + i1 r + o0 f + k / a4 j,командиро0вкой
командировку,* k a2 m a2 n d' + i1 r + o0 f + k / u4,командиро0вку
команду,* k a1 m a0 n d / u4,кома0нду
комические,* k a1 m' i0 ch + i4 s k' / i4 j i4,коми0ческие
коммерсанты,* k a2 m' i1 r s + a0 n t / y4,коммерса0нты
коммуны,* k a1 m u0 n / y4,комму0ны
комнат,* k o0 m n a4 t,ко0мнат
комната,* k o0 m n a4 t / a4,ко0мната
комнатах,* k o0 m n a4 t / a4 h,ко0мнатах
комнате,* k o0 m n a4 t' / e4,ко0мнате
комнатки,* k o0 m n a4 t + k' / i4,ко0мнатки
комнатку,* k o0 m n a4 t + k / u4,ко0мнатку
комнату,* k o0 m n a4 t / u4,ко0мнату
